event_name,participant_id,task,time,treatment
complete,9d5921df6c,8,1639631452,Chameleon
start,b27ebc6865,1,1639402668,Chameleon
attempts,b27ebc6865,1,1639402766,Chameleon
complete,b27ebc6865,1,1639402767,Chameleon
start,b27ebc6865,2,1639402767,Ghc
attempts,b27ebc6865,2,1639402891,Ghc
complete,b27ebc6865,2,1639402892,Ghc
start,b27ebc6865,3,1639402892,Chameleon
attempts,b27ebc6865,3,1639402964,Chameleon
complete,b27ebc6865,3,1639402965,Chameleon
attempts,b27ebc6865,4,1639403034,Ghc
start,b27ebc6865,4,1639402965,Ghc
attempts,b27ebc6865,4,1639403043,Ghc
complete,b27ebc6865,4,1639403044,Ghc
start,b27ebc6865,5,1639403044,Chameleon
attempts,b27ebc6865,5,1639403121,Chameleon
complete,b27ebc6865,5,1639403122,Chameleon
start,b27ebc6865,6,1639403122,Ghc
attempts,b27ebc6865,6,1639403189,Ghc
complete,b27ebc6865,6,1639403190,Ghc
start,b27ebc6865,7,1639403190,Chameleon
attempts,b27ebc6865,7,1639403274,Chameleon
complete,b27ebc6865,7,1639403275,Chameleon
start,b27ebc6865,8,1639403275,Ghc
attempts,b27ebc6865,8,1639403321,Ghc
complete,b27ebc6865,8,1639403322,Ghc
attempts,6a5e8f7420,1,1639388230,Ghc
start,6a5e8f7420,1,1639388203,Ghc
attempts,6a5e8f7420,1,1639388235,Ghc
complete,6a5e8f7420,1,1639388236,Ghc
attempts,6a5e8f7420,2,1639388263,Chameleon
start,6a5e8f7420,2,1639388236,Chameleon
attempts,6a5e8f7420,2,1639388333,Chameleon
complete,6a5e8f7420,2,1639388334,Chameleon
start,6a5e8f7420,3,1639388334,Ghc
attempts,6a5e8f7420,3,1639388432,Ghc
complete,6a5e8f7420,3,1639388433,Ghc
start,6a5e8f7420,4,1639388433,Chameleon
attempts,6a5e8f7420,4,1639388530,Chameleon
complete,6a5e8f7420,4,1639388531,Chameleon
start,6a5e8f7420,5,1639388531,Ghc
attempts,6a5e8f7420,5,1639388617,Ghc
complete,6a5e8f7420,5,1639388618,Ghc
start,6a5e8f7420,6,1639388618,Chameleon
attempts,6a5e8f7420,6,1639388681,Chameleon
complete,6a5e8f7420,6,1639388682,Chameleon
start,6a5e8f7420,7,1639388682,Ghc
attempts,6a5e8f7420,7,1639388802,Ghc
complete,6a5e8f7420,7,1639388803,Ghc
start,6a5e8f7420,8,1639388803,Chameleon
attempts,6a5e8f7420,8,1639388879,Chameleon
complete,6a5e8f7420,8,1639388880,Chameleon
attempts,3f08617d45,1,1639466336,Ghc
start,3f08617d45,1,1639466149,Ghc
attempts,3f08617d45,1,1639466395,Ghc
complete,3f08617d45,1,1639466396,Ghc
attempts,3f08617d45,2,1639466496,Chameleon
start,3f08617d45,2,1639466396,Chameleon
attempts,3f08617d45,2,1639466603,Chameleon
complete,3f08617d45,2,1639466604,Chameleon
start,3f08617d45,3,1639466604,Ghc
attempts,3f08617d45,3,1639466815,Ghc
complete,3f08617d45,3,1639466816,Ghc
start,3f08617d45,4,1639466816,Chameleon
attempts,3f08617d45,4,1639466930,Chameleon
complete,3f08617d45,4,1639466931,Chameleon
start,3f08617d45,5,1639466931,Ghc
attempts,3f08617d45,5,1639467139,Ghc
complete,3f08617d45,5,1639467140,Ghc
start,3f08617d45,6,1639467140,Chameleon
attempts,3f08617d45,6,1639467261,Chameleon
complete,3f08617d45,6,1639467262,Chameleon
start,3f08617d45,7,1639467262,Ghc
attempts,3f08617d45,7,1639467489,Ghc
complete,3f08617d45,7,1639467490,Ghc
start,3f08617d45,8,1639467490,Chameleon
attempts,3f08617d45,8,1639467624,Chameleon
complete,3f08617d45,8,1639467625,Chameleon
start,f333dd10b9,1,1639654566,Ghc
attempts,f333dd10b9,1,1639654822,Ghc
complete,f333dd10b9,1,1639654823,Ghc
start,f333dd10b9,2,1639654823,Chameleon
attempts,f333dd10b9,2,1639654984,Chameleon
complete,f333dd10b9,2,1639654985,Chameleon
start,f333dd10b9,3,1639654985,Ghc
attempts,f333dd10b9,3,1639655105,Ghc
skip,f333dd10b9,3,1639655106,Ghc
start,f333dd10b9,4,1639655106,Chameleon
attempts,f333dd10b9,4,1639655258,Chameleon
complete,f333dd10b9,4,1639655259,Chameleon
start,f333dd10b9,5,1639655259,Ghc
attempts,f333dd10b9,5,1639655382,Ghc
complete,f333dd10b9,5,1639655383,Ghc
start,f333dd10b9,6,1639655383,Chameleon
attempts,f333dd10b9,6,1639655508,Chameleon
complete,f333dd10b9,6,1639655509,Chameleon
start,f333dd10b9,7,1639655509,Ghc
attempts,f333dd10b9,7,1639655654,Ghc
complete,f333dd10b9,7,1639655655,Ghc
start,f333dd10b9,8,1639655655,Chameleon
attempts,f333dd10b9,8,1639655782,Chameleon
complete,f333dd10b9,8,1639655783,Chameleon
start,0a5ea95052,1,1640156738,Ghc
attempts,0a5ea95052,1,1640156885,Ghc
complete,0a5ea95052,1,1640156886,Ghc
start,0a5ea95052,2,1640156886,Chameleon
attempts,0a5ea95052,2,1640157065,Chameleon
complete,0a5ea95052,2,1640157066,Chameleon
start,0a5ea95052,3,1640157066,Ghc
attempts,0a5ea95052,3,1640157290,Ghc
complete,0a5ea95052,3,1640157291,Ghc
start,0a5ea95052,4,1640157291,Chameleon
attempts,0a5ea95052,4,1640157389,Chameleon
complete,0a5ea95052,4,1640157390,Chameleon
start,0a5ea95052,5,1640157390,Ghc
attempts,0a5ea95052,5,1640157726,Ghc
complete,0a5ea95052,5,1640157727,Ghc
start,0a5ea95052,6,1640157727,Chameleon
attempts,0a5ea95052,6,1640157858,Chameleon
complete,0a5ea95052,6,1640157859,Chameleon
start,0a5ea95052,7,1640157859,Ghc
attempts,0a5ea95052,7,1640158019,Ghc
skip,0a5ea95052,7,1640158020,Ghc
start,0a5ea95052,8,1640158020,Chameleon
attempts,0a5ea95052,8,1640158144,Chameleon
complete,0a5ea95052,8,1640158145,Chameleon
start,bf1561d843,1,1639459341,Chameleon
attempts,bf1561d843,1,1639459419,Chameleon
complete,bf1561d843,1,1639459420,Chameleon
start,bf1561d843,2,1639459420,Ghc
attempts,bf1561d843,2,1639459746,Ghc
complete,bf1561d843,2,1639459747,Ghc
attempts,bf1561d843,3,1639459774,Chameleon
start,bf1561d843,3,1639459747,Chameleon
attempts,bf1561d843,3,1639459844,Chameleon
complete,bf1561d843,3,1639459845,Chameleon
attempts,bf1561d843,4,1639459906,Ghc
start,bf1561d843,4,1639459845,Ghc
attempts,bf1561d843,4,1639459943,Ghc
complete,bf1561d843,4,1639459944,Ghc
start,bf1561d843,5,1639459944,Chameleon
attempts,bf1561d843,5,1639460045,Chameleon
skip,bf1561d843,5,1639460046,Chameleon
start,bf1561d843,6,1639460046,Ghc
attempts,bf1561d843,6,1639460157,Ghc
skip,bf1561d843,6,1639460158,Ghc
start,bf1561d843,7,1639460158,Chameleon
attempts,bf1561d843,7,1639460262,Chameleon
complete,bf1561d843,7,1639460263,Chameleon
start,bf1561d843,8,1639460263,Ghc
attempts,bf1561d843,8,1639460351,Ghc
complete,bf1561d843,8,1639460352,Ghc
start,03b7784642,1,1639233098,Chameleon
attempts,03b7784642,1,1639233248,Chameleon
complete,03b7784642,1,1639233249,Chameleon
start,03b7784642,2,1639233249,Ghc
attempts,03b7784642,2,1639233393,Ghc
complete,03b7784642,2,1639233394,Ghc
attempts,03b7784642,3,1639233437,Chameleon
start,03b7784642,3,1639233394,Chameleon
attempts,03b7784642,3,1639233483,Chameleon
complete,03b7784642,3,1639233484,Chameleon
start,03b7784642,4,1639233484,Ghc
attempts,03b7784642,4,1639233586,Ghc
complete,03b7784642,4,1639233587,Ghc
start,03b7784642,5,1639233587,Chameleon
attempts,03b7784642,5,1639233722,Chameleon
complete,03b7784642,5,1639233723,Chameleon
start,03b7784642,6,1639233723,Ghc
attempts,03b7784642,6,1639233795,Ghc
complete,03b7784642,6,1639233796,Ghc
start,03b7784642,7,1639233796,Chameleon
attempts,03b7784642,7,1639233906,Chameleon
complete,03b7784642,7,1639233907,Chameleon
start,03b7784642,8,1639233907,Ghc
attempts,03b7784642,8,1639233997,Ghc
complete,03b7784642,8,1639233998,Ghc
start,96906cb8e5,1,1639592832,Ghc
attempts,96906cb8e5,1,1639592899,Ghc
complete,96906cb8e5,1,1639592900,Ghc
start,96906cb8e5,2,1639592900,Chameleon
attempts,96906cb8e5,2,1639592982,Chameleon
complete,96906cb8e5,2,1639592983,Chameleon
start,96906cb8e5,3,1639592983,Ghc
attempts,96906cb8e5,3,1639593037,Ghc
complete,96906cb8e5,3,1639593038,Ghc
start,96906cb8e5,4,1639593038,Chameleon
attempts,96906cb8e5,4,1639593100,Chameleon
complete,96906cb8e5,4,1639593101,Chameleon
start,96906cb8e5,5,1639593101,Ghc
attempts,96906cb8e5,5,1639593178,Ghc
complete,96906cb8e5,5,1639593179,Ghc
start,96906cb8e5,6,1639593179,Chameleon
attempts,96906cb8e5,6,1639593229,Chameleon
complete,96906cb8e5,6,1639593230,Chameleon
attempts,96906cb8e5,7,1639593254,Ghc
start,96906cb8e5,7,1639593230,Ghc
attempts,96906cb8e5,7,1639593305,Ghc
complete,96906cb8e5,7,1639593306,Ghc
start,96906cb8e5,8,1639593306,Chameleon
attempts,96906cb8e5,8,1639593357,Chameleon
complete,96906cb8e5,8,1639593358,Chameleon
start,b726ae1a78,1,1639633254,Chameleon
attempts,b726ae1a78,1,1639633380,Chameleon
complete,b726ae1a78,1,1639633381,Chameleon
start,b726ae1a78,2,1639633381,Ghc
attempts,b726ae1a78,2,1639633583,Ghc
complete,b726ae1a78,2,1639633584,Ghc
start,b726ae1a78,3,1639633584,Chameleon
attempts,b726ae1a78,3,1639633690,Chameleon
complete,b726ae1a78,3,1639633691,Chameleon
attempts,b726ae1a78,4,1639633694,Ghc
attempts,b726ae1a78,4,1639633753,Ghc
attempts,b726ae1a78,4,1639633795,Ghc
start,b726ae1a78,4,1639633691,Ghc
attempts,b726ae1a78,4,1639633819,Ghc
complete,b726ae1a78,4,1639633820,Ghc
start,b726ae1a78,5,1639633820,Chameleon
attempts,b726ae1a78,5,1639633913,Chameleon
complete,b726ae1a78,5,1639633914,Chameleon
attempts,b726ae1a78,6,1639633957,Ghc
start,b726ae1a78,6,1639633914,Ghc
attempts,b726ae1a78,6,1639634006,Ghc
complete,b726ae1a78,6,1639634007,Ghc
start,b726ae1a78,7,1639634007,Chameleon
attempts,b726ae1a78,7,1639634130,Chameleon
complete,b726ae1a78,7,1639634131,Chameleon
start,b726ae1a78,8,1639634131,Ghc
attempts,b726ae1a78,8,1639634245,Ghc
complete,b726ae1a78,8,1639634246,Ghc
attempts,4a2306d3ab,1,1639504633,Chameleon
start,4a2306d3ab,1,1639504442,Chameleon
attempts,4a2306d3ab,1,1639504638,Chameleon
complete,4a2306d3ab,1,1639504639,Chameleon
attempts,4a2306d3ab,2,1639504708,Ghc
start,4a2306d3ab,2,1639504639,Ghc
attempts,4a2306d3ab,2,1639504886,Ghc
complete,4a2306d3ab,2,1639504887,Ghc
start,4a2306d3ab,3,1639504887,Chameleon
attempts,4a2306d3ab,3,1639505049,Chameleon
skip,4a2306d3ab,3,1639505050,Chameleon
start,4a2306d3ab,4,1639505050,Ghc
attempts,4a2306d3ab,4,1639505206,Ghc
complete,4a2306d3ab,4,1639505207,Ghc
start,4a2306d3ab,5,1639505207,Chameleon
attempts,4a2306d3ab,5,1639505422,Chameleon
complete,4a2306d3ab,5,1639505423,Chameleon
start,4a2306d3ab,6,1639505423,Ghc
attempts,4a2306d3ab,6,1639505540,Ghc
complete,4a2306d3ab,6,1639505541,Ghc
start,4a2306d3ab,7,1639505541,Chameleon
attempts,4a2306d3ab,7,1639505677,Chameleon
complete,4a2306d3ab,7,1639505678,Chameleon
start,4a2306d3ab,8,1639505678,Ghc
attempts,4a2306d3ab,8,1639505799,Ghc
complete,4a2306d3ab,8,1639505800,Ghc
start,fc256191db,1,1639334784,Ghc
attempts,fc256191db,1,1639334893,Ghc
complete,fc256191db,1,1639334894,Ghc
start,fc256191db,2,1639334894,Chameleon
attempts,fc256191db,2,1639335023,Chameleon
complete,fc256191db,2,1639335024,Chameleon
start,fc256191db,3,1639335024,Ghc
attempts,fc256191db,3,1639335171,Ghc
complete,fc256191db,3,1639335172,Ghc
start,fc256191db,4,1639335172,Chameleon
attempts,fc256191db,4,1639335281,Chameleon
complete,fc256191db,4,1639335282,Chameleon
start,fc256191db,5,1639335282,Ghc
attempts,fc256191db,5,1639335403,Ghc
complete,fc256191db,5,1639335404,Ghc
start,fc256191db,6,1639335404,Chameleon
attempts,fc256191db,6,1639335475,Chameleon
complete,fc256191db,6,1639335476,Chameleon
start,fc256191db,7,1639335476,Ghc
attempts,fc256191db,7,1639335582,Ghc
complete,fc256191db,7,1639335583,Ghc
start,fc256191db,8,1639335583,Chameleon
attempts,fc256191db,8,1639335657,Chameleon
complete,fc256191db,8,1639335658,Chameleon
start,c206fbdaf5,1,1639420982,Chameleon
attempts,c206fbdaf5,1,1639421207,Chameleon
complete,c206fbdaf5,1,1639421208,Chameleon
attempts,c206fbdaf5,2,1639421627,Ghc
attempts,c206fbdaf5,2,1639421409,Ghc
start,c206fbdaf5,2,1639421208,Ghc
attempts,c206fbdaf5,2,1639421662,Ghc
complete,c206fbdaf5,2,1639421663,Ghc
start,c206fbdaf5,3,1639421663,Chameleon
attempts,c206fbdaf5,3,1639421821,Chameleon
complete,c206fbdaf5,3,1639421822,Chameleon
attempts,c206fbdaf5,4,1639421999,Ghc
start,c206fbdaf5,4,1639421822,Ghc
attempts,c206fbdaf5,4,1639422016,Ghc
complete,c206fbdaf5,4,1639422017,Ghc
start,c206fbdaf5,5,1639422017,Chameleon
attempts,c206fbdaf5,5,1639422182,Chameleon
complete,c206fbdaf5,5,1639422183,Chameleon
start,c206fbdaf5,6,1639422183,Ghc
attempts,c206fbdaf5,6,1639422248,Ghc
complete,c206fbdaf5,6,1639422249,Ghc
start,c206fbdaf5,7,1639422249,Chameleon
attempts,c206fbdaf5,7,1639422432,Chameleon
complete,c206fbdaf5,7,1639422433,Chameleon
start,c206fbdaf5,8,1639422433,Ghc
attempts,c206fbdaf5,8,1639422594,Ghc
complete,c206fbdaf5,8,1639422595,Ghc
